@relation CGE_R0-weka.filters.unsupervised.attribute.Remove-R1-2-weka.filters.unsupervised.attribute.Remove-R1-2-weka.filters.unsupervised.instance.RemoveDuplicates

@attribute mm_1h numeric
@attribute mm_2h numeric
@attribute mm_3h numeric
@attribute mm_4h numeric
@attribute mm_6h numeric
@attribute mm_12h numeric
@attribute class {0,1}

@data
6.28,5.105,3.47,2.7025,1.835,0.950833,1
7.66,5.605,3.736667,2.8025,1.868333,0.950833,1
11.42,5.71,3.806667,2.855,1.903333,0.951667,1
0,0,0,0.15,0.1,0.9525,1
11.59,5.795,3.863333,2.8975,1.931667,0.965833,1
11.61,5.805,3.87,2.9025,1.935,0.9675,1
2.56,2.36,1.906667,1.43,1.421667,0.969167,0
2.95,2.555,2.036667,1.7775,1.418333,0.975833,1
11.19,5.89,3.926667,2.945,1.963333,0.981667,1
10.43,5.315,3.543333,2.6575,1.771667,0.984167,1
9.84,5.81,3.873333,2.955,1.97,0.985,1
2.75,2.165,2.1,1.575,1.05,0.990833,1
12.01,6.005,4.003333,3.0025,2.001667,1.000833,1
12.2,6.1,4.066667,3.05,2.033333,1.016667,1
3.15,5.905,3.936667,2.9525,2.001667,1.034167,1
12.41,6.205,4.136667,3.1025,2.068333,1.034167,1
3.15,4.33,4.133333,3.1,2.066667,1.05,1
11.73,5.965,4.176667,3.1325,2.121667,1.060833,1
5.5,5.5,3.993333,3.045,2.096667,1.081667,1
8.66,4.33,2.953333,2.315,2.066667,1.083333,1
4.72,6.61,4.406667,3.305,2.203333,1.101667,1
13.39,6.695,4.463333,3.3475,2.231667,1.115833,1
0,0.69,1.313333,0.985,0.656667,1.115833,1
0.98,1.97,1.313333,0.985,0.656667,1.115833,1
11.81,5.905,4.526667,3.395,2.263333,1.131667,1
13.67,6.835,4.556667,3.4175,2.278333,1.155833,1
2.17,6.69,4.46,3.345,2.23,1.165,1
14.04,7.02,4.68,3.51,2.34,1.17,1
10.43,7.08,4.72,3.54,2.36,1.18,1
3.34,5.21,3.54,3.54,2.36,1.18,1
0,7.15,4.766667,3.575,2.383333,1.191667,1
2.95,4.62,4.386667,3.34,2.293333,1.196667,1
0,0,0.066667,0.05,1.541667,1.1975,1
0,0,0.066667,0.05,0.723333,1.1975,1
14.5,7.25,4.833333,3.625,2.416667,1.208333,1
7.47,4.225,2.816667,2.1125,1.408333,1.231667,1
0.99,7.33,4.953333,3.715,2.476667,1.238333,1
3.54,7.485,4.99,3.7425,2.495,1.2475,1
13.34,6.67,4.446667,3.5325,2.52,1.26,1
14.38,7.485,4.99,3.7925,2.528333,1.264167,1
0.2,0.1,0.066667,0.05,0.1,1.266667,1
0,0,0,0.05,0.033333,1.266667,1
0.4,0.5,0.466667,0.45,0.5,1.268333,1
2.95,1.97,2.493333,3.54,2.556667,1.278333,1
7.87,3.935,2.756667,2.7075,2.263333,1.280833,1
15.42,7.71,5.14,3.855,2.57,1.285,1
9.05,4.525,3.083333,2.8525,2.46,1.296667,1
7.08,7.79,5.193333,3.895,2.596667,1.298333,1
15.93,7.965,5.31,3.9825,2.655,1.3275,1
2.37,3.05,4.323333,3.735,2.556667,1.328333,1
0,0,0,0,0,1.33,1
16.06,8.03,5.353333,4.015,2.676667,1.338333,1
10.42,5.21,3.54,3.05,2.558333,1.345833,1
10.23,5.115,5.31,4.08,2.72,1.36,1
16.35,8.175,5.45,4.0875,2.725,1.3625,1
16.18,8.09,5.393333,4.045,2.696667,1.365,1
6.88,3.44,2.293333,1.72,1.738333,1.375833,1
15.95,8.075,5.45,4.0875,2.725,1.379167,1
16.55,8.275,5.516667,4.1375,2.758333,1.379167,1
3.74,8.275,5.516667,4.1375,2.758333,1.379167,1
3.93,7.83,5.286667,4.115,2.743333,1.388333,1
16.72,8.36,5.573333,4.18,2.786667,1.393333,1
0.2,8.36,5.573333,4.18,2.786667,1.393333,1
6.89,3.745,2.763333,2.2225,1.781667,1.4075,1
16.92,8.46,5.64,4.23,2.82,1.41,1
9.05,8.47,5.646667,4.235,2.823333,1.411667,1
16.74,8.37,5.58,4.185,2.823333,1.411667,1
16.98,8.49,5.66,4.245,2.83,1.415,1
16.72,8.555,5.703333,4.2775,2.851667,1.425833,1
11.64,8.08,5.386667,4.04,2.858333,1.429167,1
0,0,0,0,0.721667,1.43,1
0.2,1.766667,5.733333,4.3,2.866667,1.433333,0
17.2,8.6,5.733333,4.3,2.866667,1.433333,0
16.1,8.15,5.763333,4.3225,2.881667,1.440833,1
8.72,4.76,3.44,2.73,2.086667,1.443333,1
13.97,6.985,4.656667,3.4925,2.92,1.46,1
17.71,8.855,5.903333,4.4275,2.951667,1.475833,1
17.33,8.665,5.776667,4.3325,2.921667,1.4775,1
4.91,5.695,5.956667,4.4675,2.978333,1.489167,1
18.3,9.15,6.1,4.575,3.05,1.525,1
15.74,9.15,6.1,4.575,3.05,1.525,1
17.98,9.185,6.123333,4.5925,3.061667,1.530833,1
18.45,9.225,6.15,4.6125,3.075,1.5375,1
10.09,5.345,3.83,3.0225,2.281667,1.540833,1
10.09,5.445,3.896667,3.0725,2.315,1.5575,1
18.74,9.37,6.246667,4.685,3.123333,1.561667,1
18.93,9.465,6.31,4.7325,3.155,1.5775,1
17.58,9.48,6.32,4.74,3.16,1.58,1
19.06,9.53,6.353333,4.765,3.176667,1.588333,1
18.77,9.58,6.386667,4.79,3.193333,1.596667,1
3.93,3.535,3.206667,2.85,2.59,1.611667,0
16.87,9.715,6.476667,4.8575,3.238333,1.619167,1
19.6,9.8,6.533333,4.9,3.266667,1.633333,1
1.59,9.84,6.56,4.92,3.28,1.64,1
5.51,7.475,5.9,4.475,2.983333,1.640833,1
0,0,0,0.05,1.148333,1.643333,1
19.81,9.905,6.603333,4.9525,3.301667,1.650833,1
0,0,0.066667,0.05,2.36,1.655833,1
12.63,6.315,4.21,3.1575,2.105,1.675833,1
20.14,10.07,6.713333,5.035,3.356667,1.678333,1
20.15,10.075,6.716667,5.0375,3.358333,1.679167,1
19.66,10.125,6.75,5.0625,3.375,1.6875,1
8.85,5.9,6.556667,5.0175,3.378333,1.689167,1
20.4,10.2,6.8,5.1,3.4,1.7,1
0,1.18,3.803333,4.9675,3.411667,1.705833,1
20.66,10.33,6.886667,5.165,3.443333,1.721667,1
0,0,0,0.05,1.246667,1.725,1
4.52,4.81,5.3,3.975,2.65,1.735833,1
5.7,2.85,1.9,1.425,0.983333,1.738333,1
20.87,10.435,6.956667,5.2175,3.478333,1.739167,1
18.54,10.355,6.97,5.2275,3.485,1.7425,1
20.77,10.385,6.923333,5.1925,3.461667,1.7475,1
21.06,10.53,7.02,5.265,3.51,1.755,1
0.2,2.75,3.016667,3.2925,2.918333,1.7625,0
?,2.75,3.016667,3.2925,2.918333,1.7625,0
2.56,2.75,3.016667,3.2925,2.918333,1.7625,0
2.56,2.75,3.016667,0.842742,0.746613,1.7625,0
0.91871,0.849194,3.016667,3.2925,2.918333,1.7625,0
18.85,9.82,6.743333,5.305,3.536667,1.768333,1
0.39,0.89,6.416667,4.8125,3.536667,1.768333,1
3.55,10.635,7.09,5.3175,3.545,1.7725,1
21.28,10.64,7.093333,5.32,3.546667,1.773333,1
19.39,9.695,7.12,5.34,3.56,1.78,1
21.37,10.685,7.123333,5.3425,3.561667,1.780833,1
15.23,10.685,7.123333,5.3425,3.561667,1.780833,1
20.99,10.69,7.126667,5.345,3.563333,1.781667,1
0,0,0,0,0.165,1.786667,1
8.19,4.095,3.273333,2.9,2.461667,1.789167,0
0.9172,0.6448,0.575067,0.5597,0.4854,1.789167,0
20.3,10.55,7.166667,5.375,3.583333,1.791667,1
21.54,10.77,7.18,5.385,3.59,1.795,1
10.51,10.785,7.19,5.3925,3.595,1.7975,1
21.54,10.77,7.246667,5.435,3.623333,1.811667,1
21.47,10.935,7.29,5.4675,3.645,1.8225,1
13.59,6.795,6.31,4.7325,3.646667,1.823333,1
14.38,7.59,5.26,4.195,2.996667,1.848333,0
?,?,?,0.05,0.551667,1.848333,0
?,?,0.066667,0.610357,0.551667,1.848333,0
1.398571,7.59,5.26,4.195,2.996667,1.848333,0
1.398571,0.863571,5.26,4.195,2.996667,1.848333,0
?,?,?,0.610357,2.996667,1.848333,0
?,?,?,?,2.996667,1.848333,0
?,?,?,?,?,1.848333,0
1.398571,0.863571,0.69,4.195,2.996667,1.848333,0
?,?,?,?,0.033333,1.848333,0
0.2,0.1,0.69,0.610357,2.996667,1.848333,0
0.2,0.863571,0.69,4.195,2.996667,1.848333,0
0.2,0.863571,5.26,4.195,2.996667,1.848333,0
17.55,8.775,5.85,4.3875,3.45,1.855833,1
2.75,3.34,2.293333,5.5075,3.738333,1.869167,1
5.51,3.935,4.333333,3.545,3.053333,1.871667,1
0.79,10.965,7.443333,5.6325,3.755,1.8775,1
0.4,10.965,7.443333,5.5825,3.755,1.8775,1
17.52,8.76,7.546667,5.66,3.773333,1.886667,1
12.29,11.36,7.573333,5.68,3.786667,1.893333,1
22.82,11.41,7.606667,5.705,3.803333,1.901667,1
22.84,11.42,7.613333,5.71,3.806667,1.903333,1
22.86,11.43,7.62,5.715,3.81,1.905,1
3.34,6.78,6.753333,5.7525,3.835,1.9175,1
2.56,1.28,1.12,1.1875,1.448333,1.919167,1
23.2,11.6,7.733333,5.85,3.9,1.95,1
0,0,0,0,0,1.954167,1
11.11,10.84,7.226667,5.42,3.613333,1.954167,1
16.53,11.805,7.87,5.9025,3.935,1.984167,1
13.19,7.78,5.186667,3.89,2.593333,1.988333,1
13.57,7.77,7.933333,5.95,4,2,1
4.54,4.04,3.47,3.5825,3.341667,2.004167,0
1.65,4.04,3.47,3.5825,3.341667,2.004167,0
23.6,12.095,8.063333,6.0475,4.031667,2.015833,1
23.68,11.84,7.893333,5.97,3.98,2.055833,1
20.42,10.21,6.806667,5.105,3.403333,2.065833,1
